matlab½â,4001 x 43
y(end),247.578599667735   369.579946955956   232.183795474794   201.355808711329  -323.641349398862  -354.286608726127   170.494536077273   139.605063747282   108.692494103637    77.761950685642    46.818575182992    15.867508236339   -15.086116995321   -46.037182557433   -76.980599326862  -107.911287792632  -138.824152497407  -169.714087891895  -200.575995019398  -231.404779700869  -262.195340015492  -292.942565110155  -976.255214442793 -1009.430913335058  -994.631212732417  -959.887206531784 -1065.131747146846 -1106.533322568194 -1133.595729053517 -1146.288648294582 -1144.541113018019 -1128.391490882013 -1097.980390440439 -1053.411194590197 -1039.063500068210 -1087.624276529852 -1121.857379204522 -1141.743501061451 -1147.220995876912 -1138.259131198310 -1114.958842350712 -1077.465733514262 -1025.804037605571
y(end-1),247.551775202665   369.578204030989   232.157653873755   201.331025469836  -323.641809782365  -354.285599202213   170.471157705033   139.583114063329   108.671987437254    77.742888169951    46.800954935127    15.851338796939   -15.100810744152   -46.050380811753   -76.992302880003  -107.921515068373  -138.832936917320  -169.721474079037  -200.582022212370  -231.409460797230  -262.198654796054  -292.944472784080 -5851.482312168143 -5890.738627047634 -5846.995027227349 -5802.974984541645 -5956.169176834572 -6004.071812674072 -6034.383360637835 -6047.072636227220 -6042.100203369251 -6019.503882152856 -5979.414078611625 -5921.925793723204 -5925.638624455858 -5982.317137888814 -6021.427791774221 -6042.934339937848 -6046.793935710216 -6032.998711379154 -6001.636191951080 -5952.845355228190 -5886.645100829273
